target	avg_word_length	avg_sentence_length	lexical_diversity	percentage_punctuation	the	and	of	a	to	in	i	he	it	that	you	his	with	on	for	at	as	but	her	they	she	him	all	this	we	from	or	out	an	my	by	up	what	me	no	like	would	if	about	which	them	into	who	could	can	some	their	over	down	your	will	its	any	through	after	off	than	our	us	around	these	because	must	before	those	&	should	himself	both	against	may	might	shall	since	de	within	between	each	under	until	toward	another	myselfPRP$	VBG	VBD	VBN	POS	VBP	WDT	JJ	WP	VBZ	DT	RP	NN	FW	TO	PRP	RB	NNS	NNP	VB	WRB	CC	LS	PDT	RBS	RBR	CD	EX	IN	WP$	MD	NNPS	JJS	JJR	UH
hemingway	4.270710059171598	13.0	0.3727810650887574	0.02978870800138552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01775147928994083	0.010355029585798817	0.08579881656804733	0.016272189349112426	0	0.02514792899408284	0.005917159763313609	0.034023668639053255	0.0029585798816568047	0.011834319526627219	0.09171597633136094	0.004437869822485207	0.15384615384615385	0	0.016272189349112426	0.08284023668639054	0.04142011834319527	0.014792899408284023	0.05621301775147929	0.03106508875739645	0.011834319526627219	0.03254437869822485	0	0.0014792899408284023	0	0.0029585798816568047	0.014792899408284023	0	0.08727810650887574	0	0.010355029585798817	0.0014792899408284023	0.0014792899408284023	0	0
hemingway	4.252	12.820512820512821	0.426	0.02539981185324553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0.014	0.094	0.016	0	0.014	0.004	0.014	0.012	0.012	0.1	0.004	0.106	0	0.012	0.09	0.036	0.046	0.104	0.026	0.002	0.04	0	0	0	0.002	0.008	0.006	0.096	0	0.008	0	0.004	0	0
hemingway	4.639246778989098	20.18	0.39742319127849357	0.013885921811578723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01684836471754212	0.008919722497522299	0.08424182358771061	0.02180376610505451	0.0009910802775024777	0.009910802775024777	0	0.04261645193260654	0.004955401387512388	0.013875123885034688	0.10406342913776016	0.003964321110009911	0.1337958374628345	0	0.02180376610505451	0.08126858275520317	0.04261645193260654	0.03369672943508424	0.08919722497522299	0.03270564915758176	0.006937561942517344	0.03964321110009911	0	0.0009910802775024777	0	0	0.005946481665014866	0.003964321110009911	0.1110009910802775	0	0.010901883052527254	0.0009910802775024777	0.0019821605550049554	0.002973240832507433	0
hemingway	4.2742759795570695	15.051282051282051	0.45315161839863716	0.024711040255081706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017035775127768313	0.010221465076660987	0.06643952299829642	0.018739352640545145	0	0.027257240204429302	0.0017035775127768314	0.028960817717206135	0.005110732538330494	0.008517887563884156	0.07495741056218058	0.008517887563884156	0.1686541737649063	0	0.013628620102214651	0.0868824531516184	0.059625212947189095	0.02555366269165247	0.04258943781942078	0.034071550255536626	0.013628620102214651	0.056218057921635436	0	0	0	0.0017035775127768314	0.0017035775127768314	0.0017035775127768314	0.08347529812606473	0	0.01192504258943782	0.0017035775127768314	0	0.005110732538330494	0
hemingway	4.355844155844156	12.62295081967213	0.36493506493506495	0.023255813953488372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02207792207792208	0.01038961038961039	0.08051948051948052	0.007792207792207792	0	0.032467532467532464	0.0025974025974025974	0.06233766233766234	0.0025974025974025974	0.005194805194805195	0.07012987012987013	0.0025974025974025974	0.12727272727272726	0	0.025974025974025976	0.11558441558441558	0.03896103896103896	0.024675324675324677	0.05194805194805195	0.03116883116883117	0.003896103896103896	0.05844155844155844	0	0	0	0.0012987012987012987	0.006493506493506494	0.005194805194805195	0.07402597402597402	0	0.007792207792207792	0	0.0012987012987012987	0.014285714285714285	0
hemingway	4.417862838915471	12.795918367346939	0.4433811802232855	0.032490974729241874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03349282296650718	0.019138755980861243	0.07017543859649122	0.017543859649122806	0	0.03349282296650718	0.001594896331738437	0.025518341307814992	0.003189792663476874	0.006379585326953748	0.06060606060606061	0.007974481658692184	0.14035087719298245	0	0.004784688995215311	0.0733652312599681	0.05582137161084529	0.04146730462519936	0.09888357256778309	0.017543859649122806	0.003189792663476874	0.023923444976076555	0	0	0	0	0.012759170653907496	0	0.0861244019138756	0	0.003189792663476874	0.001594896331738437	0	0.001594896331738437	0
hemingway	4.2924791086350975	11.580645161290322	0.4554317548746518	0.036015574302401036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019498607242339833	0.011142061281337047	0.06267409470752089	0.011142061281337047	0.011142061281337047	0.027855153203342618	0.001392757660167131	0.033426183844011144	0.006963788300835654	0.006963788300835654	0.08635097493036212	0.005571030640668524	0.1671309192200557	0	0.01532033426183844	0.08356545961002786	0.03203342618384401	0.037604456824512536	0.06824512534818941	0.022284122562674095	0.002785515320334262	0.034818941504178275	0	0	0	0	0.011142061281337047	0	0.08774373259052924	0	0.008356545961002786	0.001392757660167131	0.001392757660167131	0	0
hemingway	4.695059625212947	12.229166666666666	0.3850085178875639	0.02939042089985486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030664395229982964	0.010221465076660987	0.07495741056218058	0.02385008517887564	0	0.01192504258943782	0	0.03747870528109029	0.0017035775127768314	0.0017035775127768314	0.08517887563884156	0.005110732538330494	0.12265758091993186	0	0.04088586030664395	0.09369676320272573	0.020442930153321975	0.049403747870528106	0.06473594548551959	0.049403747870528106	0.01192504258943782	0.02555366269165247	0	0	0	0	0.0034071550255536627	0	0.09028960817717206	0	0.022146507666098807	0.0017035775127768314	0	0.0017035775127768314	0
hemingway	4.376325088339223	13.476190476190476	0.3710247349823322	0.024626564392410174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014134275618374558	0.015901060070671377	0.10247349823321555	0.026501766784452298	0	0.0088339222614841	0	0.06713780918727916	0.0017667844522968198	0.01060070671378092	0.0989399293286219	0.0035335689045936395	0.15724381625441697	0	0.007067137809187279	0.10070671378091872	0.03356890459363958	0.028268551236749116	0.04063604240282685	0.012367491166077738	0.007067137809187279	0.04946996466431095	0	0	0	0	0.00530035335689046	0.0035335689045936395	0.08480565371024736	0	0.01060070671378092	0	0	0	0
hemingway	4.476190476190476	9.046153846153846	0.44387755102040816	0.04293313069908815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025510204081632654	0.017006802721088437	0.08673469387755102	0.011904761904761904	0.00510204081632653	0.015306122448979591	0	0.03231292517006803	0.003401360544217687	0.01020408163265306	0.08163265306122448	0.01020408163265306	0.17346938775510204	0	0.011904761904761904	0.05952380952380952	0.023809523809523808	0.04251700680272109	0.10034013605442177	0.011904761904761904	0.0017006802721088435	0.022108843537414966	0	0	0.0017006802721088435	0	0.008503401360544218	0.0017006802721088435	0.0782312925170068	0	0.0017006802721088435	0	0.0017006802721088435	0.0017006802721088435	0
hemingway	4.238719068413392	11.844827586206897	0.35662299854439594	0.053228021978021976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017467248908296942	0.011644832605531296	0.09606986899563319	0.021834061135371178	0	0.024745269286754003	0.002911208151382824	0.027656477438136828	0.00727802037845706	0.011644832605531296	0.08296943231441048	0.005822416302765648	0.13828238719068414	0	0.011644832605531296	0.0975254730713246	0.048034934497816595	0.010189228529839884	0.049490538573508006	0.034934497816593885	0.011644832605531296	0.036390101892285295	0	0	0	0.002911208151382824	0.011644832605531296	0.001455604075691412	0.07423580786026202	0	0.013100436681222707	0.002911208151382824	0.001455604075691412	0	0
hemingway	4.685352622061483	22.12	0.4538878842676311	0.02045542261675029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019891500904159132	0.03074141048824593	0.08499095840867993	0.0162748643761302	0	0.0108499095840868	0.003616636528028933	0.0379746835443038	0.003616636528028933	0.007233273056057866	0.08499095840867993	0.012658227848101266	0.11211573236889692	0	0.023508137432188065	0.11030741410488246	0.0325497287522604	0.028933092224231464	0.07233273056057866	0.03616636528028933	0.0162748643761302	0.03616636528028933	0	0.0018083182640144665	0	0.0018083182640144665	0.0018083182640144665	0	0.09584086799276673	0	0.0108499095840868	0.003616636528028933	0	0.0018083182640144665	0
hemingway	4.581436077057793	20.392857142857142	0.4868651488616462	0.017966360856269112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0297723292469352	0.0017513134851138354	0.08581436077057793	0.03152364273204904	0	0.008756567425569177	0.0017513134851138354	0.04903677758318739	0.008756567425569177	0.005253940455341506	0.09982486865148861	0.0035026269702276708	0.17688266199649738	0	0.012259194395796848	0.06654991243432574	0.05253940455341506	0.03327495621716287	0.02626970227670753	0.02626970227670753	0.005253940455341506	0.05604203152364273	0	0	0	0.0035026269702276708	0.014010507880910683	0.0017513134851138354	0.09807355516637478	0	0.010507880910683012	0	0	0	0
hemingway	4.367622259696459	19.129032258064516	0.3979763912310287	0.02471042471042471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006745362563237774	0.01854974704890388	0.07419898819561552	0.01011804384485666	0	0.03035413153456998	0	0.047217537942664416	0.006745362563237774	0.013490725126475547	0.07082630691399663	0.008431703204047217	0.12984822934232715	0	0.02023608768971332	0.0893760539629005	0.048903878583473864	0.03372681281618887	0.0657672849915683	0.03035413153456998	0.003372681281618887	0.04047217537942664	0	0.003372681281618887	0	0	0.006745362563237774	0.0016863406408094434	0.11129848229342328	0	0.01011804384485666	0.0016863406408094434	0	0	0
hemingway	4.562152133580705	16.84375	0.49536178107606677	0.0211468076453843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016697588126159554	0.01855287569573284	0.00927643784786642	0.014842300556586271	0	0.03153988868274583	0	0.04452690166975881	0.00927643784786642	0.02411873840445269	0.07606679035250463	0.0018552875695732839	0.13543599257884972	0	0.025974025974025976	0.08348794063079777	0.05194805194805195	0.04267161410018553	0.0575139146567718	0.04081632653061224	0	0.04081632653061224	0	0.0018552875695732839	0	0	0.0055658627087198514	0.0055658627087198514	0.11873840445269017	0	0.014842300556586271	0	0.0018552875695732839	0.0055658627087198514	0
hemingway	4.662454873646209	22.16	0.4566787003610108	0.02168021680216802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02527075812274368	0.005415162454873646	0.005415162454873646	0.009025270758122744	0	0.04693140794223827	0	0.05054151624548736	0.0018050541516245488	0.018050541516245487	0.09566787003610108	0.007220216606498195	0.16064981949458484	0	0.02527075812274368	0.0740072202166065	0.03790613718411552	0.032490974729241874	0.07942238267148015	0.02888086642599278	0.0036101083032490976	0.07220216606498195	0	0	0	0	0.021660649819494584	0	0.08664259927797834	0	0.0018050541516245488	0	0	0	0
hemingway	4.473861720067454	14.825	0.42495784148397975	0.02223897474557105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01854974704890388	0.016863406408094434	0.06913996627318718	0.016863406408094434	0	0.03204047217537943	0	0.04384485666104553	0.006745362563237774	0.00505902192242833	0.09949409780775717	0.006745362563237774	0.1821247892074199	0	0.01854974704890388	0.08600337268128162	0.04047217537942664	0.026981450252951095	0.06239460370994941	0.025295109612141653	0.003372681281618887	0.0387858347386172	0	0	0	0	0.003372681281618887	0	0.06239460370994941	0	0.011804384485666104	0	0.0016863406408094434	0	0
hemingway	4.485576923076923	12.0	0.46955128205128205	0.032868881743479815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02403846153846154	0.009615384615384616	0.06570512820512821	0.008012820512820512	0	0.01282051282051282	0	0.049679487179487176	0.003205128205128205	0.009615384615384616	0.08493589743589744	0.003205128205128205	0.15865384615384615	0	0.011217948717948718	0.07532051282051282	0.03365384615384615	0.05128205128205128	0.0673076923076923	0.009615384615384616	0.003205128205128205	0.04326923076923077	0	0	0	0	0.008012820512820512	0.0016025641025641025	0.07692307692307693	0	0.00641025641025641	0.0016025641025641025	0.003205128205128205	0.0016025641025641025	0
